Customer Id,First Name,Last Name,Gender,Birth Date,Email,Phone,Country,City,State,Postal Code,Registration Date,Customer Segment,Loyalty,Active,Language,Marketing
C00002309,Isabella,Martin,Male,1985/01/01,isabella.martin2309@globalretail.com,58420921853,Canada,Toronto,Ontario,84169,2023-12-30,Corporate,Platinum,True,en,True
C00022405,Olivia,Miller,Female,1986-12-27,olivia.miller22405@globalretail.com,18324115290,France,Paris,Île-de-France,64616,2021-01-12,Consumer,Bronze,True,fr,True
C00023398,Michael,Johnson,Female,1974-05-16,michael.johnson23398@globalretail.com,84728214103,United States,New York,NY,86419,2025-06-30,Consumer,Silver,True,en,True
C00025059,Isabella,Miller,Male,1985-12-15,isabella.miller25059@globalretail.com,12606790117,Germany,Berlin,Berlin,50452,2024-09-10,Consumer,Silver,True,de,False
C00002665,Sophia,Garcia,Male,2014-08-17,,82463634372,United States,New York,NY,70696,2021-03-30,Small Business,Bronze,True,en,False
C00008512,Amelia,Martin,Non-Binary,1992-09-29,amelia.martin8512@globalretail.com,37884754231,United States,New York,NY,57135,2025-08-08,Corporate,Bronze,True,en,True
C00005149,James,Miller,Female,1998-06-07,james.miller5149@globalretail.com,22592885339,France,Paris,Île-de-France,18875,2024-06-13,Small Business,Gold,True,fr,False
C00007791,Olivia,Miller,Male,1991-09-15,,85560387929,Germany,Berlin,Berlin,32717,2022-12-04,Consumer,Gold,True,de,False
C00011312,Emma,Moore,Male,1978-01-18,emma.moore11312@globalretail.com,9623864957,United States,New York,NY,67400,2024-11-27,Consumer,Bronze,True,en,True
C00019044,Amelia,Wilson,Non-Binary,2003-09-02,amelia.wilson19044@globalretail.com,57632684506,United States,New York,NY,93049,2021-08-05,Consumer,Gold,False,en,True
C00010785,Liam,Taylor,Female,2009-08-29,liam.taylor10785@globalretail.com,23981250147,Germany,Berlin,Berlin,41124,2021-07-31,Small Business,Bronze,True,de,True
C00022247,Amelia,Williams,Female,1989-01-29,amelia.williams22247@globalretail.com,61504653871,United States,New York,NY,84321,2024-12-20,Consumer,Bronze,True,en,True
C00003269,Isabella,Garcia,Male,1979-03-29,isabella.garcia3269@globalretail.com,29453015518,United Kingdom,London,England,31627,2025-07-05,Consumer,Silver,True,en,True
C00015948,Lucas,Davis,Non-Binary,1975-11-03,lucas.davis15948@globalretail.com,36566210882,United States,New York,NY,98617,2022-07-21,Consumer,Gold,True,en,True
C00014978,Noah,Johnson,Non-Binary,1989-10-21,noah.johnson14978@globalretail.com,43967314751,Netherlands,Amsterdam,North Holland,31839,2024-10-22,Consumer,Bronze,True,nl,False
C00014475,Isabella,Williams,Non-Binary,1993-05-06,isabella.williams14475@globalretail.com,86455996501,United States,New York,NY,65241,2022-10-20,Small Business,Bronze,True,en,True
C00028695,Isabella,Wilson,Male,2007-10-27,isabella.wilson28695@globalretail.com,21478359328,Germany,Berlin,Berlin,77564,2023-06-01,Consumer,Bronze,True,de,True
C00014055,Emma,Jones,Male,1984-08-04,,26583770747,Germany,Berlin,Berlin,14128,2021-03-11,Consumer,Silver,True,de,True
C00026546,Lucas,Garcia,Female,1990-10-08,lucas.garcia26546@globalretail.com,1812750007,Spain,Madrid,Madrid,85288,2020-06-16,Consumer,Silver,True,es,True
C00014981,James,Davis,Female,1980-05-06,james.davis14981@globalretail.com,43316703578,United States,New York,NY,80678,2024-07-27,Consumer,Bronze,True,en,True
C00017637,Olivia,Johnson,Female,1998-04-12,olivia.johnson17637@globalretail.com,59172838503,Spain,Madrid,Madrid,50096,2022-07-15,Consumer,Silver,True,es,False
C00003932,Isabella,Moore,Non-Binary,2007-09-22,isabella.moore3932@globalretail.com,62760242517,United States,New York,NY,61795,2024-04-06,Consumer,Bronze,True,en,True
C00008388,Noah,Brown,Male,1993-10-13,,23494751905,Canada,Toronto,Ontario,66122,2020-11-08,Consumer,Gold,True,en,True
C00008029,Amelia,Taylor,Non-Binary,1994-07-31,amelia.taylor8029@globalretail.com,48423348961,United States,New York,NY,26795,2020-12-01,Consumer,Gold,True,en,True
C00009483,Olivia,Smith,Female,1981-01-30,olivia.smith9483@globalretail.com,38416856671,Netherlands,Amsterdam,North Holland,17423,2022-10-24,Consumer,Bronze,True,nl,True
C00022573,Amelia,Johnson,Male,1991-10-14,amelia.johnson22573@globalretail.com,49201582421,Spain,Madrid,Madrid,14696,2023-05-07,Consumer,Silver,True,es,False
C00015108,Olivia,Moore,Non-Binary,2004-12-16,olivia.moore15108@globalretail.com,8265530180,Canada,Toronto,Ontario,76717,2023-01-30,Consumer,Bronze,True,en,True
C00003674,Isabella,Martin,Non-Binary,1988-05-06,isabella.martin3674@globalretail.com,49923692785,United States,New York,NY,17914,2021-01-03,Consumer,Silver,True,en,True
C00021389,Noah,Smith,Non-Binary,1993-12-09,noah.smith21389@globalretail.com,84541691292,United States,New York,NY,44855,2021-07-10,Consumer,Bronze,True,en,False
C00005938,Noah,Davis,Male,1998-05-04,noah.davis5938@globalretail.com,63147455699,United Kingdom,London,England,84475,2025-11-23,Corporate,Silver,True,en,False
C00027034,Emma,Miller,Female,1997-01-07,emma.miller27034@globalretail.com,39209123865,United States,New York,NY,93562,2022-08-21,Small Business,Bronze,True,en,True
C00029272,Lucas,Williams,Non-Binary,2006-02-02,lucas.williams29272@globalretail.com,95945191543,United States,New York,NY,24552,2021-08-08,Consumer,Bronze,True,en,True
C00021881,Olivia,Brown,Female,2003-02-07,olivia.brown21881@globalretail.com,UNKNOWN,United Kingdom,London,England,76418,2025-07-11,Small Business,Bronze,True,en,True
C00006509,John,Smith,Non-Binary,2007-10-31,john.smith6509@globalretail.com,49774154006,United States,New York,NY,86158,2022-05-25,Consumer,Gold,True,en,True
C00021458,Isabella,Jones,Male,1981-09-15,isabella.jones21458@globalretail.com,10625053281,Spain,Madrid,Madrid,27987,2023-02-28,Consumer,Silver,True,es,True
C00020072,Emma,Wilson,Non-Binary,1976-02-25,,65960321558,United States,New York,NY,89689,2023-05-01,Consumer,Bronze,True,en,True
C00027013,James,Moore,Female,2009-07-29,james.moore27013@globalretail.com,30883866958,Italy,Milan,Lombardy,59833,2025-05-24,Consumer,Bronze,True,it,True
